geonameid	name	asciiname	alternatenames	latitude	longitude	feature class	feature code	country code	cc2	admin1 code	admin2 code	admin3 code	admin4 code	population	elevation	gtopo30	timezone	modification date
3981608	Tia Juana River	Tia Juana River	Rio Tiajuana,Rio Tijuana,Río Tijuana,Tia Juana River	32.55668	-117.12865	H	STM	US						0		-9999	America/Los_Angeles	2011-10-20
4045408	Chitka Cove	Chitka Cove		51.59611	178.93972	H	BAY	US		AK	016			0		-9999	America/Adak	2010-01-30
4045409	West Arm Nevidiskov Bay	West Arm Nevidiskov Bay		52.78917	172.82639	H	BAY	US		AK	016			0		-9999	America/Adak	2010-01-30
4045410	Vulcan Point	Vulcan Point		52.10222	177.53889	T	CAPE	US		AK	016			0		-9999	America/Adak	2010-01-30
4045411	Tropical Ridge	Tropical Ridge		51.99167	177.50833	T	RDGE	US		AK	016			0		244	America/Adak	2010-01-30
4045412	Thirty-Seven Hill	Thirty-Seven Hill		52.84528	173.15278	T	MT	US		AK	016			0		177	America/Adak	2010-01-30
4045413	Temnac Bay	Temnac Bay		52.81028	173.04472	H	BAY	US		AK	016			0		-9999	America/Adak	2010-01-30
4045414	Tanadak Pass	Tanadak Pass		51.94611	177.75972	H	CHN	US		AK	016			0		-9999		2010-01-30
4045415	Square Point	Square Point		52.86056	173.33389	T	CAPE	US		AK	016			0		-9999	America/Adak	2010-01-30
4045416	Square Bluff	Square Bluff		51.65	178.7	T	CLF	US		AK	016			0		-9999	America/Adak	2010-01-30
4045417	Southwest Indent	Southwest Indent		51.9125	179.5	H	BAY	US		AK	016			0		-9999	America/Adak	2010-01-30
4045418	Southeast Point	Southeast Point		51.92222	179.72778	T	CAPE	US		AK	016			0		123	America/Adak	2010-01-30
4045419	Sonom Beach	Sonom Beach		52.795	173.10528	T	BCH	US		AK	016			0		1	America/Nome	2010-01-30
4045420	Smith Beach	Smith Beach		52.97778	172.91389	T	BCH	US		AK	016			0		-9999	America/Adak	2010-01-30
4045421	Silver Salmon Lake	Silver Salmon Lake		51.42278	179.21861	H	LK	US		AK	016			0		19	America/Adak	2010-01-30
4045422	Siddens Valley	Siddens Valley		52.88192	173.21771	T	VAL	US		AK	016			0		1	America/Adak	2010-01-30
4045423	Sarana Bay	Sarana Bay		52.8725	173.29222	H	BAY	US		AK	016			0		-9999	America/Adak	2010-01-30
4045424	Salt Creek	Salt Creek		52.09306	177.67222	H	STM	US		AK	016			0		1	America/Adak	2010-01-30
4045425	Russian Ridge	Russian Ridge		51.975	177.37083	T	RDGE	US		AK	016			0		217	America/Adak	2010-01-30
4045426	Rucksock Creek	Rucksock Creek		52.84	173.12917	H	STM	US		AK	016			0		46	America/Adak	2010-01-30
4045427	Ring Lake	Ring Lake		52.04667	177.61111	H	LK	US		AK	016			0		44	America/Adak	2010-01-30
4045428	Rim Point	Rim Point		51.59722	178.70278	T	CAPE	US		AK	016			0		-9999	America/Adak	2010-01-30
4045429	Rex Hill	Rex Hill		52.02083	177.53889	T	MT	US		AK	016			0		269	America/Adak	2010-01-30
4045430	Red Bluff	Red Bluff		52.08083	177.66472	T	CLF	US		AK	016			0		174	America/Adak	2010-01-30
4045431	Point Poker	Point Poker		52.89639	173.30278	T	CAPE	US		AK	016			0		1	America/Nome	2010-01-30
4045432	Pochnoi Point	Pochnoi Point		51.95889	179.77056	T	CAPE	US		AK	016			0		10	America/Adak	2010-01-30
4045433	Petrel Point	Petrel Point		51.49333	179.09167	T	CAPE	US		AK	016			0		-9999	America/Adak	2010-01-30
4045434	Peregrine Point	Peregrine Point		51.57556	178.98611	T	CAPE	US		AK	016			0		14	America/Adak	2010-01-30
4045435	Omega Point	Omega Point		51.35889	179.39361	T	CAPE	US		AK	016			0		23	America/Adak	2010-01-30
4045436	Nugget Hill	Nugget Hill		51.97306	177.64	T	MT	US		AK	016			0		-9999	America/Adak	2010-01-30
4045437	North-northwest Bight	North-northwest Bight		52.025	179.59722	H	BAY	US		AK	016			0		-9999	America/Adak	2010-01-30
4045438	North Ridge	North Ridge		52.90417	173.29583	T	RDGE	US		AK	016			0		66	America/Adak	2010-01-30
4045439	Nazi Creek	Nazi Creek		51.94778	177.67222	H	STM	US		AK	016			0		36	America/Adak	2010-01-30
4045440	Navy Cove	Navy Cove		52.84222	173.20278	H	BAY	US		AK	016			0		1	America/Adak	2010-01-30
4045441	Moron Lake	Moron Lake		52.00472	177.5075	H	LK	US		AK	016			0		44	America/Adak	2010-01-30
4045442	Monument Hill	Monument Hill		51.99222	177.5075	T	MT	US		AK	016			0		244	America/Adak	2010-01-30
4045443	Milton Creek	Milton Creek		51.98611	177.57389	H	STM	US		AK	016			0		40	America/Adak	2010-01-30
4045444	Mike Hill	Mike Hill		51.94167	177.50417	T	MT	US		AK	016			0		178	America/Adak	2010-01-30
